device,impl,matrix_type,m,n,k,mblk,nblk,kblk,mmk,nmk,time_ms_mean,time_ms_std,time_ms_min,time_ms_max,gflops_mean,gflops_std,gflops_min,gflops_max
macbook-m4-pro,05-final,random_dense,1024,1024,1024,256,512,512,16,8,86.02970416666668,0.41623768468873595,85.294375,86.809583,24.962683266666666,0.12079534541527476,24.737864,25.177319
macbook-m4-pro,05-final,random_sparse,128,128,128,256,512,512,16,8,0.247743,0.010846526747432042,0.221458,0.286709,16.960670966666665,0.7270035951854129,14.629133,18.939501
macbook-m4-pro,05-final,random_sparse,256,256,256,256,512,512,16,8,1.5936375,0.028239617084624344,1.514583,1.649042,21.061737166666667,0.3789746840659712,20.347833,22.154238
macbook-m4-pro,05-final,random_sparse,512,512,512,256,512,512,16,8,11.141962366666666,0.08954768042798945,10.957125,11.344,24.093799966666666,0.1935937700077831,23.66321,24.498713
macbook-m4-pro,05-final,random_sparse,1024,1024,1024,256,512,512,16,8,86.72650143333334,3.0865431165453536,85.596583,102.967541,24.787328166666665,0.749121819672465,20.855928,25.088427
rpi,01-naive,banded,128,128,128,128,256,256,16,8,11.921182033333334,3.343006006044967,9.730676,19.509722,0.37426596666666667,0.08340692627506437,0.214985,0.431039
rpi,01-naive,banded,256,256,256,128,256,256,16,8,76.36961473333332,0.03372448854440149,76.330942,76.459329,0.4393689666666667,0.00019383755789466531,0.438853,0.439591
rpi,01-naive,banded,512,512,512,128,256,256,16,8,605.7193924999999,5.413427477033726,604.576644,634.374409,0.4432007333333334,0.003788023412640504,0.42315,0.444006
rpi,01-naive,block_sparse,128,128,128,128,256,256,16,8,16.421606633333333,0.7308912821109754,15.325777,17.323223,0.2559126,0.011595524298862785,0.24212,0.273676
rpi,01-naive,block_sparse,256,256,256,128,256,256,16,8,84.27694756666666,0.44647973562453663,83.349715,85.474456,0.3981555666666666,0.002105818846112758,0.392567,0.402574
rpi,01-naive,block_sparse,512,512,512,128,256,256,16,8,695.3555190000001,2.9885268192176833,688.956502,704.085126,0.38604746666666667,0.0016554183080758397,0.381254,0.389626
rpi,01-naive,dense_no_zero,128,128,128,128,256,256,16,8,9.818198733333332,0.022318286145628648,9.790009,9.903879,0.4271989666666667,0.0009673117560193983,0.423501,0.428427
rpi,01-naive,dense_no_zero,256,256,256,128,256,256,16,8,79.83110793333334,0.12691604310939836,79.583691,80.143001,0.4203187666666667,0.0006677116703432959,0.418682,0.421624
